Tweets,Result
I recently had a terrific meeting with a bipartisan group of freshman lawmakers who feel very strongly in favor of Congressional term limits. I gave them my full support and endorsement for their efforts. #DrainTheSwamp,Positive
Numerous countries are being considered for the MEETING but would Peace House/Freedom House on the Border of North &amp; South Korea be a more Representative Important and Lasting site than a third party country? Just asking!,Positive
The White House Correspondents’ Dinner is DEAD as we know it. This was a total disaster and an embarrassment to our great Country and all that it stands for. FAKE NEWS is alive and well and beautifully represented on Saturday night!,Negative
Headline: “Kim Prepared to Cede Nuclear Weapons if U.S. Pledges Not to Invade” - from the Failing New York Times. Also will shut down Nuclear Test Site in May.,Negative
The White House Correspondents’ Dinner was a failure last year but this year was an embarrassment to everyone associated with it. The filthy “comedian” totally bombed (couldn’t even deliver her lines-much like the Seth Meyers weak performance). Put Dinner to rest or start over!,Negative
“Trump’s Triumphs are driving his critics Crazy!” Thank you Steve Hilton @NextRevFNC just want to do what is right for our wonderful U.S.A.,Positive
Just got recent Poll - much higher than President O at same time....Well much more has been accomplished!,Positive
While Washington Michigan was a big success Washington D.C. just didn’t work. Everyone is talking about the fact that the White House Correspondents Dinner was a very big boring bust...the so-called comedian really “bombed.” @greggutfeld should host next year! @PeteHegseth,Negative
Great evening last night in Washington Michigan. The enthusiasm knowledge and love in that room was unreal. To the many thousands of people who couldn’t get in I cherish you....and will be back!,Positive
Join me LIVE in Washington Michigan at 7:00pmE on @FoxNews! #MAGA,Neutral
Secret Service has just informed me that Senator Jon Tester’s statements on Admiral Jackson are not true. There were no such findings. A horrible thing that we in D.C. must live with just like phony Russian Collusion. Tester should lose race in Montana. Very dishonest and sick!,Negative
Look forward to being in the Great State of Michigan tonight. Major business expansion and jobs pouring into your State. Auto companies expanding at record pace. Big crowd tonight will be live on T.V.,Positive
Just had a long and very good talk with President Moon of South Korea. Things are going very well time and location of meeting with North Korea is being set. Also spoke to Prime Minister Abe of Japan to inform him of the ongoing negotiations.,Positive
“Clapper lied about (fraudulent) Dossier leaks to CNN” @foxandfriends FoxNews  He is a lying machine who now works for Fake News CNN.,Negative
....great people of Montana will not stand for this kind of slander when talking of a great human being. Admiral Jackson is the kind of man that those in Montana would most respect and admire and now for no reason whatsoever his reputation has been shattered. Not fair Tester!,Positive
Allegations made by Senator Jon Tester against Admiral/Doctor Ron Jackson are proving false. The Secret Service is unable to confirm (in fact they deny) any of the phony Democrat charges which have absolutely devastated the wonderful Jackson family. Tester should resign. The.....,Negative
House Intelligence Committee rules that there was NO COLLUSION between the Trump Campaign and Russia. As I have been saying all along it is all a big Hoax by the Democrats based on payments and lies. There should never have been a Special Counsel appointed. Witch Hunt!,Neutral
House Intelligence Committee rules that there was NO COLLUSION between the Trump Campaign and Russia. As I have been saying all along it is all a big Hoax by the Democrats based on payments and lies. There should never have been a Special Councel appointed. Witch Hunt!,Neutral
"RT @WhiteHouse: ""So today on behalf of the United States I want to thank every Olympian and Paralympian... To every member of @TeamUSA I…",Positive
I urge all Americans to participate in #takebackday tomorrow! Let’s come together and BEAT last October’s record of disposed prescription pills! Visit https://t.co/QCG7bHvvxd to learn more on how to participate Saturday and every day. https://t.co/W00YxL1RwK,Neutral
"RT @WhiteHouse: ""Today I am honored to welcome Chancellor Angela Merkel back to the White House... We are also pleased to have our newly co…",Positive
Just Out: House Intelligence Committee Report released. “No evidence” that the Trump Campaign “colluded coordinated or conspired with Russia.” Clinton Campaign paid for Opposition Research obtained from Russia- Wow! A total Witch Hunt! MUST END NOW!,Positive
Look forward to meeting with Chancellor Angela Merkel of Germany today. So much to discuss so little time! It will be good for both of our great countries!,Positive
Kanye West has performed a great service to the Black Community - Big things are happening and eyes are being opened for the first time in Decades - Legacy Stuff! Thank you also to Chance and Dr. Darrell Scott they really get it (lowest Black &amp; Hispanic unemployment in history).,Positive
Please do not forget the great help that my good friend President Xi of China has given to the United States particularly at the Border of North Korea. Without him it would have been a much longer tougher process!,Positive
So great to have Staff Sgt. Dan Nevins and the incredible WOUNDED WARRIORS with me in the White House yesterday. These are truly brave and special people! @foxandfriends,Positive
KOREAN WAR TO END! The United States and all of its GREAT people should be very proud of what is now taking place in Korea!,Positive
After a furious year of missile launches and Nuclear testing a historic meeting between North and South Korea is now taking place. Good things are happening but only time will tell!,Neutral
Is everybody believing what is going on. James Comey can’t define what a leak is. He illegally leaked CLASSIFIED INFORMATION but doesn’t understand what he did or how serious it is. He lied all over the place to cover it up. He’s either very sick or very dumb. Remember sailor!,Negative
The U.S. has put together a STRONG bid w/ Canada &amp; Mexico for the 2026 World Cup. It would be a shame if countries that we always support were to lobby against the U.S. bid. Why should we be supporting these countries when they don’t support us (including at the United Nations)?,Positive
Loved being on @foxandfriends this morning. Great show!,Positive
I will be interviewed on @foxandfriends at 8:00 A.M. Enjoy!,Positive
MAGA! https://t.co/jFf5ONASlv,Neutral
Thank you Kanye very cool! https://t.co/vRIC87M21X,Positive
RT @realDonaldTrump: Democrats are obstructing good (hopefully great) people wanting to give up a big portion of their life to work for our…,Positive
Looking forward to my meeting with Tim Cook of Apple. We will be talking about many things including how the U.S. has been treated unfairly for many years by many countries on trade.,Negative
.@FLOTUS did a spectacular job hosting the President of France @EmmanuelMacron and his wife Brigitte. Every detail was done to perfection. The State Dining Room never looked more beautiful and Washington is abuzz over what an incredible job Melania did.,Positive
Busy day planned.  Looking forward to watching President Macron of France address a Joint Session of Congress today. This is a great honor and seldom allowed to be done...he will be GREAT!,Positive
Congratulations to Republican Debbie Lesko on her big win in the Special Election for Arizona House seat. Debbie will do a Great Job! Press is so silent.,Positive
RT @realDonaldTrump: Our two great republics are linked together by the timeless bonds of history culture and destiny. We are people who…,Positive
Our two great republics are linked together by the timeless bonds of history culture and destiny. We are people who cherish our values protect our civilization and recognize the image of God in every human soul. https://t.co/01c8iSGDB3,Positive
Today @FLOTUS Melania and I were honored to welcome French President @EmmanuelMacron and Mrs. Brigitte Macron to the @WhiteHouse. We look forward to hosting them at tonight's State Dinner in their honor. https://t.co/wGJcWqSzyP,Positive
.@JimRenacci has worked so hard on Tax Reductions Illegal Immigration the Border and Crime. I need Jim very badly to help our agenda and to keep MAKING AMERICA GREAT AGAIN! He will be a fantastic Senator for the Great State of Ohio and has my full endorsement!,Positive
.@JimRenacci has worked so hard on Tax Reductions Illegal Immigration the Border and Crime. I need Jim very badly to help our agenda and to keep MAKING AMERICA GREAT AGAIN! He will be a fantastic  Senator for the Great State of Ohio and has my full endorsement!,Positive
